id,marca,modelo,ano,cor,quilometragem,preco,combustivel,cambio,placa,chassi,disponivel,data_cadastro,padrao_placa
eb09b26d-8523-4dde-b6cb-958fc3e03025,Hyundai,i30,2017,Branco,39077,51000.0,Flex,Manual,IJT-6V31,23919880824AGXOSH,Sim,2025-05-20,Inválido
d0bd15be-4813-4cd6-922d-42328f36215b,Chevrolet,Cruze,2009,Preto,75959,46500.0,Flex,CVT,ZDH-4D99,19479613496RSJEBI,Não,2025-05-10,Inválido
13f1f6c7-7095-4a14-ac19-14456b1a24b6,Fiat,Toro,2017,Vermelho,96318,41400.0,Gasolina,Automático,DIO-2C79,81796990195NELZEJ,Não,2025-03-19,Inválido
69201f31-8e2d-49a6-932e-04d3986223d6,Volkswagen,Polo,2011,Azul,125909,58500.0,Flex,Automático,IDS-4E68,75912492334DZLDDA,Não,2025-02-04,Inválido
c206f0e4-f827-499e-8a89-cc5dc2ca57d4,Chevrolet,Cruze,2007,Cinza,25993,47000.0,Gasolina,Manual,EOW-6G18,60625960174GKHJOI,Sim,2025-06-19,Inválido
37c020f4-aae4-46a8-8ba9-30b78cfff887,Toyota,Corolla,2017,Cinza,29253,32400.0,Diesel,Automático,AXX-7Z88,67412278677HXZCZA,Sim,2025-02-15,Inválido
ebeb9d5d-0e1c-42d5-9d2c-c8922849e5fb,Honda,HR-V,2017,Prata,84207,39600.0,Gasolina,CVT,BPP-1B93,33217710533ATJTVJ,Sim,2025-01-09,Inválido
9af1de53-b448-4ee4-bb65-0b347aea2a7a,Renault,Logan,2016,Prata,187609,34650.0,Diesel,Automático,HHZ-2O77,98717172923JOYVGU,Não,2025-05-16,Inválido
8efd3487-7b07-446f-bf9e-467271abedc3,Honda,Civic,2011,Prata,74171,51000.0,Gasolina,CVT,EVF-7T73,01922009039ZTTVHS,Sim,2025-02-03,Inválido
1f235aa8-b9fa-460a-9f5b-1381c78519d7,Renault,Sandero,2013,Preto,146014,28000.0,Elétrico,CVT,EVQ-6A88,29094829624CFOXWJ,Sim,2025-01-05,Inválido
aaadca81-7650-42e4-ad49-144e891d1345,Honda,Civic,2020,Cinza,123455,66750.0,Diesel,Automático,AFX-0E81,06308483001JXXAKC,Sim,2025-05-18,Inválido
ea32e2a5-c64e-45f8-b0cc-f3ee02bed7db,Ford,Ka,2020,Branco,76627,40500.0,Etanol,CVT,TYA-2G03,03947094175EZLPNU,Sim,2025-05-08,Inválido
939cd696-8132-4a9e-82fb-970dd549b33e,Fiat,Argo,2006,Branco,75082,20500.0,Flex,Manual,RZG-3E34,67842980342IPTBCO,Sim,2025-04-12,Inválido
19840a97-e923-4636-a349-e47ed926a803,Volkswagen,Polo,2008,Branco,55317,24000.0,Etanol,Manual,SOC-9Q87,59508108116XAEOOV,Não,2025-02-11,Inválido
